ARTICULO;NOMBRE
107051;CHAPA REMATE 0.55 X 0.65
107061;Chapa Remate VERSATEC 100x50cm
111061;Marco Media Cubeta VERSATEC cub-25-35
108011;Guardacuerpo C/Mor. 1.1M INDE-K  Ctf. UNE  EN13374
107081;CHAPA REMATE 1.97 X 0.28
107071;Chapa Remate VERSATEC 66x50cm
104012;"Chapa Pilar INDE-K 50x50cm ; Amarillo"
102161;"Tablero Tricapa VERSATEC 80x50cm ; Azul (1ª)"
107022;CHAPA REMATE 0.50 X 0.60
101221;"Arriostrador UNO97 ; L=2,00 m ; Ral 7012"
205111;BARRA DE ALINEACION 1M
205112;BARRA DE ALINEACION 0,30M
101172;ARRIOSTRADOR FLEXIBLE 4M
101171;ARRIOSTRADOR FLEXIBLE 4M
102171;TABLERO FENOLICO 1,97M INDE-K
101231;"Sopanda Intermedia VERSATEC ; L=4,00 m ; Ral 4008"
102012;"Tablero Tricapa VERSATEC 197x50cm ; Amarillo (1ª)"
107032;CHAPA REMATE 0.50 X 0.65
103202;PUNTAL 6M
107042;CHAPA REMATE 0.55 X 0.60
300000;Chatarra de Material de Encofrado
102242;Tablero Tricapa VERSATEC 98x50cm (Remate)
107052;CHAPA REMATE 0.55 X 0.65
106371;TUBO DE 3M ARRIOSTRADOR
113012;Pilar Circular INDE-K Ø45x300cm
101241;"Sopanda Intermedia VERSATEC ; L=3,00 m ; Ral 4008"
107062;Chapa Remate VERSATEC 100x50cm
103131;PUNTAL 3M INDE-K VERDE
107072;Chapa Remate VERSATEC 66x50cm
113011;Pilar Circular INDE-K Ø45x300cm
101251;"Sopanda Intermedia VERSATEC ; L=2,00 m ; Ral 4008"
107082;CHAPA REMATE 1.97 X 0.28
103141;PUNTAL 4M INDE-K VERDE
102051;"Tablero Tricapa VERSATEC 197x50cm ; Azul (1ª)"
102202;"Tablero Tricapa VERSATEC 197x50cm ; Gris (1ª)"
103151;PUNTAL 5M INDE-K VERDE
102061;TABLERO TRICAPA 1,97M DOK
112071;Garra INDE-K 45
113091;Pilar Circular INDE-K Ø25x300cm
105052;ML TABICA 200 X 40
111072;Media Cubeta VERSATEC 40x74x25cm
105051;ML TABICA 200 X 40
106382;Consola de Trepado TEIDE
104001;"Chapa Pilar INDE-K 50x35cm ; Amarillo"
104682;Escuadra Int. Panel  Ligero 1200x300x300  Inde-k
103112;PUNTAL 4M INDE-K ROJO
104002;"Chapa Pilar INDE-K 50x35cm ; Amarillo"
103101;PUNTAL 3M INDE-K ROJO
103111;PUNTAL 4M INDE-K ROJO
103121;"Puntal 5m ; Ø48/40 e2/2mm ; Rojo"
104222;TAPON DE REDUCCION DE PILAR
111071;Media Cubeta VERSATEC 40x74x25cm
111011;Cubeta VERSATEC 80x74x25cm
111012;Cubeta VERSATEC 80x74x25cm
111021;Cubeta VERSATEC 80x74x30cm
108012;Guardacuerpo C/Mor. 1.1M INDE-K  Ctf. UNE  EN13374
111082;Media Cubeta VERSATEC 37x80x20cm
102221;"Tablero Tricapa VERSATEC 98x50cm ; Rojo (1ª)"
102222;"Tablero Tricapa VERSATEC 98x50cm ; Rojo (1ª)"
111081;Media Cubeta VERSATEC 37x80x20cm
111022;Cubeta VERSATEC 80x74x30cm
113021;Pilar Circular INDE-K Ø35x300cm
113022;Pilar Circular INDE-K Ø35x300cm
111031;Cubeta VERSATEC 80x74x35cm
102181;TABLERO MONOCAPA 1,97 INDE-K
113112;Pilar Circular INDE-K Ø55x350cm
102232;Tablero Tricapa VERSATEC 98x50cm (Defectuoso)
111032;Cubeta VERSATEC 80x74x35cm
111041;Cubeta VERSATEC 80x74x40cm
111042;Cubeta VERSATEC 80x74x40cm
112011;Corbata INDE-K
112012;Corbata INDE-K
102141;Tablero Tricapa VERSATEC 197x50cm (Remate)
115011;M3 TABLA 2,00M X 25MM
102191;TABLERO MONOCAPA 0,98M INDE-K
112021;Garra INDE-K 20
115021;M3 VIGUETA 2,50M X 50MM X 150MM
112031;Garra INDE-K 25
106381;Consola de Trepado TEIDE
102192;TABLERO MONOCAPA 0,98M INDE-K
102131;Tablero Seguridad VERSATEC 197x50cm  Verde
112041;Garra INDE-K 30
113111;Pilar Circular INDE-K Ø55x350cm
111091;Media Cubeta VERSATEC 40x74x35cm
111092;Media Cubeta VERSATEC 40x74x35cm
111101;1/2 CUBETA 40
111102;1/2 CUBETA 40
106361;Plataforma INDE-K 300x30 cm
112051;Garra INDE-K 35
999062;Modificación de pedido
999012;CABEZAL RECUPERABLE
999011;CABEZAL RECUPERABLE
112061;Garra INDE-K 40
103231;Arandela Puntal Ø48mm
106362;Plataforma INDE-K 300x30 cm
999022;LONGITUDINAL DE 4M
103241;Pasador Puntal Ø10mm
114011;MONTAJE  Y DESMONTAJE ANDAMIO
114012;MONTAJE Y DESMONTAJE ANDAMIO
106412;Canasta INDE-K
114022;ALQUILER EQUIPO ANDAMIO/DIA
114021;ALQUILER EQUIPO ANDAMIO/DIA
114032;TRANSPORTE ANDAMIO
114031;TRANSPORTE ANDAMIO
106411;Canasta INDE-K
104141;"Chapa Pilar INDE-K 100x80cm ; Rojo"
999021;LONGITUDINAL DE 4M
104142;"Chapa Pilar INDE-K 100x80cm ; Rojo"
103201;PUNTAL 6M
113031;Pasador Cuña Pilar Circular INDE-K
113032;Pasador Cuña Pilar Circular INDE-K
999032;LONGITUDINAL DE 3M
205113;BOBINA DE FLEJE
106321;Panel TEIDE 300x30cm
106322;Panel TEIDE 300x30cm
115031;M3 VIGUETA 3,00M X 50MM X 150MM
999031;LONGITUDINAL DE 3M
103171;"Puntal INDE-K 6m ; Ø60/52 e2/2.5mm"
999042;LONGITUDINAL DE 2M
999041;LONGITUDINAL DE 2M
103172;"Puntal INDE-K 6m ; Ø60/52 e2/2.5mm"
106331;Panel TEIDE 100x40cm
106332;Panel TEIDE 100x40cm
106341;Panel TEIDE 100x30cm
106342;Panel TEIDE 100x30cm
999052;SOPANDA 1M
999051;SOPANDA 1M
103251;Pasador Puntal Ø12mm
103261;BASE PUNTAL
105011;ML TABICA 100 X 30
949051;PANEL BISAGRA METALICO 2,70
105012;ML TABICA 100 X 30
105021;ML TABICA 200 X 30
105022;ML TABICA 200 X 30
104221;Tapón Reducción Chapa Pilar INDE-K
105031;"Tabica VERSATEC 35cm ; L=1,00m"
105032;"Tabica VERSATEC 35cm ; L=1,00m"
105041;ML TABICA 200 X 35
105042;ML TABICA 200 X 35
101151;"Apeo UNO97 c/Tapa ; L=197 cm ; Naranja"
104231;TORNILLO CON TUERCA Y ARANDELA
104232;TORNILLO CON TUERCA Y ARANDELA
106392;"Barra Roscada TEIDE Ø20mm ; L=2,00m"
106391;"Barra Roscada TEIDE Ø20mm ; L=2,00m"
109282;BRIDA FIJACIÓN PANEL
114041;PLATAFORMA ANDAMIO
106402;TUERCA PLACA ARTICULADA Ø20 INDE-K
114042;PLATAFORMA ANDAMIO
106401;TUERCA PLACA ARTICULADA Ø20 INDE-K
103071;"Puntal 3m ; Ø48/40 e1.8/1.8mm ; Verde Oscuro"
103072;"Puntal 3m ; Ø48/40 e1.8/1.8mm ; Verde Oscuro"
103081;"Puntal 4m ; Ø48/40 e2.0/2.5mm ; Azul"
103082;"Puntal 4m ; Ø48/40 e2.0/2.5mm ; Azul"
103091;"Puntal 5m ; Ø48/40 e2.0/2.0mm ; Verde Oscuro"
103092;"Puntal 5m ; Ø48/40 e2.0/2.0mm ; Verde Oscuro"
116011;CORREA 4M
104022;"Chapa Pilar INDE-K 50x60cm ; Amarillo"
104042;"Chapa Pilar INDE-K 300x60cm ; Rojo"
104052;"Chapa Pilar INDE-K 300x70cm ; Rojo"
101291;"Apeo UNO ; L=100 cm ; Naranja"
104201;Cuña de Cierre Chapa Pilar INDE-K s/Cadena
112081;Garra INDE-K 50
104202;Cuña de Cierre Chapa Pilar INDE-K s/Cadena
104062;"Chapa Pilar INDE-K 300x80cm ; Rojo"
104072;Cierre Chapa Pilar INDE-K
113141;PILAR CIRCULAR 3,00 X 1,50
104082;"Arranque Pilar INDE-K ; L=50cm"
104101;Llave de Cierre TC INDE-K Ø6/10mm
104102;Llave de Cierre TC INDE-K Ø6/10mm
106422;"Alineador TEIDE U80 ; L=0,90m"
106482;"Barra Roscada TEIDE Ø15mm ; L=0,80m"
106421;"Alineador TEIDE U80 ; L=0,90m"
106432;ALINEADOR U80. L=1,33M INDE-K
106431;ALINEADOR U80. L=1,33M INDE-K
116012;CORREA 4M
116021;CORREA 3M
116022;CORREA 3M
106481;"Barra Roscada TEIDE Ø15mm ; L=0,80m"
116031;CORREA 2M
116032;CORREA 2M
116041;PORTACORREA 4M
116042;PORTACORREA 4M
116051;SOPORTE
116052;SOPORTE
104151;"Chapa Pilar INDE-K 300x30cm ; Rojo"
949061;BARRA 1.00 M
106441;Panel Esquina Bisagra TEIDE 300x35x35cm
106442;Panel Esquina Bisagra TEIDE 300x35x35cm
104152;"Chapa Pilar INDE-K 300x30cm ; Rojo"
114051;MONTAJE Y DESMONTAJE CIMBRA
114052;MONTAJE Y DESMONTAJE CIMBRA
114061;ALQUILER EQUIPO CIMBRA
114062;ALQUILER EQUIPO CIMBRA
113121;Pilar Circular INDE-K Ø50x400cm
114071;TRANSPORTE CIMBRA
114072;TRANSPORTE CIMBRA
113131;Pilar Circular INDE-K Ø50x100cm
113122;Pilar Circular INDE-K Ø50x400cm
101272;EXTREMA 1M
103181;PUNTAL 3M AMARILLO 1,8MM
101271;EXTREMA 1M
101282;INTERMEDIA 1M
101281;INTERMEDIA 1M
104242;TORRETA DE PILAR
104241;TORRETA DE PILAR
113201;Pilar Circular INDE-K Ø35x50cm
113142;PILAR CIRCULAR 3,00 X 1,50
106452;Panel TEIDE 300x240cm
